Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum
5,12,26,54,4,4,9,1,4,2,8,8,25,8,3,108,6,5,4,28,17,341,2020-09-08
16,13,16,61,11,5,3,5,2,2,10,12,14,5,3,61,2,12,9,13,16,291,2020-09-09
1,9,7,36,1,2,3,3,2,1,4,1,13,6,4,61,1,7,2,19,7,190,2020-09-10
9,15,18,48,3,7,3,5,1,2,6,17,3,2,3,48,6,15,18,15,17,261,2020-09-11
9,7,12,34,3,0,1,5,4,0,8,3,16,12,0,21,2,9,3,13,3,165,2020-09-12
1,15,1,14,1,0,0,2,0,1,3,0,1,1,1,11,0,6,3,4,0,65,2020-09-13
1,1,8,26,2,3,0,1,1,3,11,11,4,1,7,53,1,0,7,3,7,151,2020-09-14
12,13,11,33,0,9,2,11,4,3,24,16,13,9,5,71,2,7,8,16,11,280,2020-09-15
1,14,12,49,3,17,0,5,6,2,11,13,8,9,1,76,0,4,4,11,4,250,2020-09-16
8,19,6,36,0,2,3,10,8,1,5,9,8,4,2,75,1,2,13,4,18,234,2020-09-17
9,9,12,36,0,10,2,6,11,5,5,11,1,3,1,52,0,7,4,13,15,212,2020-09-18
13,8,2,43,1,19,1,8,2,25,7,15,10,2,1,16,0,7,4,9,4,197,2020-09-19
1,10,0,9,0,3,0,8,4,5,4,0,11,2,1,1,1,0,1,4,5,70,2020-09-20
7,1,11,19,1,12,1,5,2,4,4,10,8,2,0,33,2,2,1,6,13,144,2020-09-21
3,6,3,31,1,5,0,15,11,3,14,2,10,6,1,52,4,5,2,5,25,204,2020-09-22
5,3,5,42,7,20,3,2,1,5,3,18,31,1,6,41,0,7,10,4,18,232,2020-09-23
3,3,9,31,1,15,2,15,3,0,11,5,45,4,2,38,2,7,6,5,16,223,2020-09-24
8,4,9,25,1,6,4,7,4,10,13,18,8,4,3,36,1,10,21,3,17,212,2020-09-25
4,3,8,37,0,4,6,11,3,8,7,9,19,1,1,21,4,8,20,6,10,190,2020-09-26
2,5,0,14,0,1,0,1,2,0,6,0,1,0,0,8,0,1,3,3,1,48,2020-09-27
1,1,4,29,3,4,3,5,2,3,6,7,8,1,0,35,0,1,11,1,10,135,2020-09-28
11,2,4,48,2,4,3,16,4,8,8,9,11,1,4,42,4,3,9,6,14,213,2020-09-29
9,5,13,46,2,13,6,10,5,3,6,6,10,7,15,25,3,9,19,4,18,234,2020-09-30
9,3,19,73,1,6,3,30,7,4,12,7,26,3,52,29,4,3,28,3,11,333,2020-10-01
4,3,7,59,2,6,0,10,6,15,6,3,3,4,27,37,3,3,18,3,22,241,2020-10-02
7,4,5,56,2,8,12,2,11,21,14,4,37,0,5,18,5,2,20,4,21,258,2020-10-03
1,2,2,40,1,1,1,22,3,1,10,0,0,0,0,6,3,11,24,3,7,138,2020-10-04
8,3,24,60,0,0,3,15,23,12,12,5,5,4,7,52,1,5,16,10,22,287,2020-10-05
3,1,27,70,3,19,0,23,2,14,34,6,17,3,36,61,14,1,7,12,10,363,2020-10-06
14,8,23,122,2,12,1,32,6,18,56,12,17,6,31,48,12,15,41,15,51,542,2020-10-07
13,4,15,127,1,15,4,30,3,14,34,6,19,3,18,51,20,9,26,6,39,457,2020-10-08
